Player,Team,Age,Height,Weight,GP,MIN,isolation_poss,isolation_pts,transition_poss,transition_pts,ball-handler_poss,ball-handler_pts,roll-man_poss,roll-man_pts,playtype-post-up_poss,playtype-post-up_pts,spot-up_poss,spot-up_pts,hand-off_poss,hand-off_pts,cut_poss,cut_pts,off-screen_poss,off-screen_pts,putbacks_poss,putbacks_pts,poss,isolation_ppp,isolation_percentile,isolation_freq,transition_ppp,transition_percentile,transition_freq,ball-handler_ppp,ball-handler_percentile,ball-handler_freq,roll-man_ppp,roll-man_percentile,roll-man_freq,playtype-post-up_ppp,playtype-post-up_percentile,playtype-post-up_freq,spot-up_ppp,spot-up_percentile,spot-up_freq,hand-off_ppp,hand-off_percentile,hand-off_freq,cut_ppp,cut_percentile,cut_freq,off-screen_ppp,off-screen_percentile,off-screen_freq,putbacks_ppp,putbacks_percentile,putbacks_freq
Aaron Brooks,MIN,33.0,72,161,32,189,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Aaron Gordon,ORL,22.0,81,220,58,1909,96.0,79.0,214.0,206.0,3.7,2.4,56.0,70.0,96.0,87.0,227.0,225.0,50.0,40.0,62.0,86.0,71.0,67.0,53.0,65.0,928.7,0.8229166666666666,0.4339622641509434,0.10337030257348982,0.9626168224299065,0.2367758186397985,0.23042963282007106,0.6486486486486486,0.0893854748603352,0.00398406374501992,1.25,0.85,0.060299343167869064,0.90625,0.6104972375690608,0.10337030257348982,0.9911894273127754,0.5,0.2444276946268978,0.8,0.336734693877551,0.053838699257025946,1.3870967741935485,0.7894736842105263,0.06675998707871217,0.9436619718309859,0.4533898305084746,0.07645095294497685,1.2264150943396226,0.7472118959107806,0.0570690212124475
Aaron Harrison,DAL,23.0,78,210,9,233,-100.0,-100.0,12.0,11.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,33.0,24.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,45.0,-100.0,-100.0,-100.0,0.9166666666666666,0.181360201511335,0.26666666666666666,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.7272727272727273,0.1175,0.7333333333333333,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Aaron Jackson,HOU,32.0,75,183,1,35,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Abdel Nader,BOS,24.0,78,230,48,522,-100.0,-100.0,32.0,26.0,0.5,0.3,-100.0,-100.0,-100.0,-100.0,79.0,52.0,10.0,8.0,-100.0,-100.0,14.0,15.0,-100.0,-100.0,135.5,-100.0,-100.0,-100.0,0.8125,0.08942065491183879,0.23616236162361623,0.6,0.05307262569832402,0.0036900369003690036,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.6582278481012658,0.0725,0.5830258302583026,0.8,0.336734693877551,0.07380073800738007,-100.0,-100.0,-100.0,1.0714285714285714,0.6864406779661016,0.1033210332103321,-100.0,-100.0,-100.0
Adreian Payne,ORL,27.0,82,237,5,43,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Al Horford,BOS,32.0,82,245,72,2277,33.0,37.0,75.0,71.0,-100.0,-100.0,192.0,231.0,249.0,205.0,172.0,215.0,-100.0,-100.0,58.0,69.0,20.0,13.0,39.0,39.0,838.0,1.121212121212121,0.9207547169811321,0.03937947494033413,0.9466666666666667,0.2141057934508816,0.08949880668257756,-100.0,-100.0,-100.0,1.203125,0.7666666666666667,0.22911694510739858,0.8232931726907631,0.3867403314917127,0.2971360381861575,1.25,0.94625,0.2052505966587112,-100.0,-100.0,-100.0,1.1896551724137931,0.33126934984520123,0.06921241050119331,0.65,0.08898305084745763,0.02386634844868735,1.0,0.31970260223048325,0.046539379474940336
Al Jefferson,IND,33.0,82,280,36,484,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,56.0,60.0,98.0,107.0,12.0,10.0,-100.0,-100.0,31.0,40.0,-100.0,-100.0,22.0,21.0,219.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0714285714285714,0.5138888888888888,0.2557077625570776,1.0918367346938775,0.9281767955801105,0.4474885844748858,0.8333333333333334,0.22625,0.0547945205479452,-100.0,-100.0,-100.0,1.2903225806451613,0.5789473684210527,0.1415525114155251,-100.0,-100.0,-100.0,0.9545454545454546,0.23977695167286245,0.1004566210045662
Al-Farouq Aminu,POR,27.0,81,220,69,2072,17.0,10.0,92.0,93.0,-100.0,-100.0,88.0,92.0,-100.0,-100.0,329.0,312.0,16.0,14.0,38.0,38.0,10.0,7.0,51.0,50.0,641.0,0.5882352941176471,0.0830188679245283,0.0265210608424337,1.0108695652173914,0.33249370277078083,0.1435257410296412,-100.0,-100.0,-100.0,1.0454545454545454,0.42777777777777776,0.1372854914196568,-100.0,-100.0,-100.0,0.9483282674772037,0.4075,0.5132605304212169,0.875,0.4857142857142857,0.0249609984399376,1.0,0.09287925696594428,0.059282371294851796,0.7,0.1059322033898305,0.015600624024960999,0.9803921568627451,0.275092936802974,0.07956318252730109
Alan Williams,PHX,25.0,80,265,5,70,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,11.0,5.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,11.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.45454545454545453,0.011111111111111112,1.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
