Player,Team,Age,Height,Weight,GP,MIN,isolation_poss,isolation_pts,ball-handler_poss,ball-handler_pts,roll-man_poss,roll-man_pts,playtype-post-up_poss,playtype-post-up_pts,spot-up_poss,spot-up_pts,hand-off_poss,hand-off_pts,off-screen_poss,off-screen_pts,poss,isolation_ppp,isolation_percentile,isolation_freq,ball-handler_ppp,ball-handler_percentile,ball-handler_freq,roll-man_ppp,roll-man_percentile,roll-man_freq,playtype-post-up_ppp,playtype-post-up_percentile,playtype-post-up_freq,spot-up_ppp,spot-up_percentile,spot-up_freq,hand-off_ppp,hand-off_percentile,hand-off_freq,off-screen_ppp,off-screen_percentile,off-screen_freq
Aaron Gordon,ORL,23,81,220,78,2633,59.0,39.0,3.7,2.4,52.0,45.0,66.0,58.0,231.0,246.0,73.0,61.0,79.0,62.0,563.7,0.6610169491525424,0.899736147757256,0.10466560227071137,0.6486486486486486,0.9142857142857143,0.006563775057654781,0.8653846153846154,0.7170542635658915,0.09224764945893205,0.8787878787878788,0.6350974930362117,0.11708355508249067,1.0649350649350648,0.36018957345971564,0.40979244278871735,0.8356164383561644,0.6591639871382636,0.12950150789426998,0.7848101265822784,0.7987616099071208,0.1401454674472237
Aaron Holiday,IND,22,73,185,50,646,18.0,14.0,1.5,1.1,-100.0,-100.0,-100.0,-100.0,67.0,58.0,16.0,17.0,11.0,10.0,113.5,0.7777777777777778,0.7559366754617414,0.15859030837004406,0.7333333333333334,0.7666666666666667,0.013215859030837005,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.8656716417910447,0.8601895734597157,0.5903083700440529,1.0625,0.24437299035369775,0.14096916299559473,0.9090909090909091,0.5510835913312694,0.09691629955947137
Abdel Nader,OKC,25,78,225,61,694,26.0,30.0,0.5,0.3,-100.0,-100.0,11.0,8.0,84.0,65.0,19.0,12.0,32.0,28.0,172.5,1.1538461538461537,0.09762532981530343,0.15072463768115943,0.6,0.95,0.002898550724637681,-100.0,-100.0,-100.0,0.7272727272727273,0.8690807799442897,0.06376811594202898,0.7738095238095238,0.9549763033175356,0.48695652173913045,0.631578947368421,0.909967845659164,0.11014492753623188,0.875,0.628482972136223,0.1855072463768116
Al Horford,BOS,33,82,245,68,1973,98.0,75.0,-100.0,-100.0,65.0,69.0,108.0,106.0,133.0,132.0,10.0,5.0,11.0,10.0,425.0,0.7653061224489796,0.7783641160949868,0.23058823529411765,-100.0,-100.0,-100.0,1.0615384615384615,0.39147286821705424,0.15294117647058825,0.9814814814814815,0.40947075208913647,0.2541176470588235,0.9924812030075187,0.580568720379147,0.3129411764705882,0.5,0.9742765273311897,0.023529411764705882,0.9090909090909091,0.5510835913312694,0.02588235294117647
Al-Farouq Aminu,POR,28,81,220,81,2292,78.0,80.0,-100.0,-100.0,25.0,27.0,92.0,74.0,202.0,210.0,40.0,46.0,63.0,63.0,500.0,1.0256410256410255,0.21635883905013192,0.156,-100.0,-100.0,-100.0,1.08,0.3682170542635659,0.05,0.8043478260869565,0.7715877437325905,0.184,1.0396039603960396,0.42890995260663506,0.404,1.15,0.15916398713826366,0.08,1.0,0.37770897832817335,0.126
Alan Williams,BKN,26,80,265,5,26,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Alec Burks,SAC,27,78,214,64,1375,19.0,14.0,4.3,4.1,-100.0,-100.0,16.0,20.0,105.0,116.0,56.0,55.0,31.0,26.0,231.3,0.7368421052631579,0.8311345646437994,0.08214440121054907,0.9534883720930232,0.3476190476190476,0.018590575010808474,-100.0,-100.0,-100.0,1.25,0.06824512534818941,0.0691742325983571,1.1047619047619048,0.26066350710900477,0.45395590142671854,0.9821428571428571,0.3890675241157556,0.2421098140942499,0.8387096774193549,0.6996904024767802,0.1340250756593169
Alex Abrines,OKC,25,78,200,31,588,21.0,20.0,-100.0,-100.0,-100.0,-100.0,11.0,13.0,61.0,75.0,22.0,19.0,19.0,17.0,134.0,0.9523809523809523,0.34432717678100266,0.15671641791044777,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.1818181818181819,0.10863509749303621,0.08208955223880597,1.2295081967213115,0.06635071090047394,0.4552238805970149,0.8636363636363636,0.5916398713826366,0.16417910447761194,0.8947368421052632,0.5913312693498453,0.1417910447761194
Alex Caruso,LAL,25,77,186,25,531,29.0,23.0,1.6,1.1,-100.0,-100.0,18.0,19.0,66.0,45.0,12.0,2.0,19.0,19.0,145.6,0.7931034482758621,0.7203166226912929,0.1991758241758242,0.6875,0.8380952380952381,0.01098901098901099,-100.0,-100.0,-100.0,1.0555555555555556,0.2590529247910863,0.12362637362637363,0.6818181818181818,0.981042654028436,0.4532967032967033,0.16666666666666666,1.0,0.08241758241758242,1.0,0.37770897832817335,0.1304945054945055
Alex Len,ATL,26,85,250,77,1544,43.0,30.0,-100.0,-100.0,43.0,48.0,64.0,70.0,120.0,111.0,-100.0,-100.0,-100.0,-100.0,270.0,0.6976744186046512,0.8522427440633246,0.15925925925925927,-100.0,-100.0,-100.0,1.1162790697674418,0.3023255813953488,0.15925925925925927,1.09375,0.1894150417827298,0.23703703703703705,0.925,0.759478672985782,0.4444444444444444,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Alex Poythress,ATL,25,81,235,21,305,14.0,6.0,-100.0,-100.0,-100.0,-100.0,11.0,6.0,34.0,42.0,-100.0,-100.0,-100.0,-100.0,59.0,0.42857142857142855,0.9920844327176781,0.23728813559322035,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.5454545454545454,0.9665738161559888,0.1864406779661017,1.2352941176470589,0.061611374407582936,0.576271186440678,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
Alfonzo McKinnie,GSW,26,80,215,72,1003,45.0,41.0,-100.0,-100.0,-100.0,-100.0,26.0,33.0,93.0,80.0,37.0,35.0,25.0,21.0,226.0,0.9111111111111111,0.42744063324538256,0.19911504424778761,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.2692307692307692,0.06267409470752089,0.11504424778761062,0.8602150537634409,0.8696682464454977,0.41150442477876104,0.9459459459459459,0.44694533762057875,0.16371681415929204,0.84,0.6934984520123839,0.11061946902654868
